dataset,ce,act,pe,seed,encoding_kwargs_json,lr,batch_size,num_epochs,mlp_num_layers,mlp_layer_width,sine_w0,gaussian_a,ffn_scale,mapping_input,omega,sh_lmax,reconstruction_psnr,reconstruction_psnr_polar,reconstruction_psnr_equatorial,reconstruction_psnr_r,reconstruction_psnr_g,reconstruction_psnr_b,held_out_psnr,held_out_psnr_polar,held_out_psnr_equatorial,held_out_psnr_r,held_out_psnr_g,held_out_psnr_b,status,parameter_count,wall_clock_seconds,peak_gpu_mem_mb,epochs_run,timestamp_start,timestamp_end,log_dir,mitigation_note
hdri_sky,cartesian,scaled-sine,RFF,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,20.063352584838867,23.014307022094727,18.511791229248047,19.85750389099121,21.193220138549805,19.342571258544922,19.817312240600586,22.673662185668945,18.288429260253906,19.62419319152832,20.886940002441406,19.12494468688965,completed,280599,269.709,246.55,120,2026-06-28T12:48:05,2026-06-28T12:52:35,logs/grid\scaled_sine__rff__hdri_sky__seed42\scaled-sine\version_0,
hdri_urban,cartesian,scaled-sine,RFF,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,31.828994750976562,36.048362731933594,29.420129776000977,31.729066848754883,32.94345474243164,31.026134490966797,23.13339614868164,30.074975967407227,19.359142303466797,23.157136917114258,23.884803771972656,22.472639083862305,completed,280599,1106.769,246.55,500,2026-06-28T12:52:48,2026-06-28T13:11:15,logs/grid\scaled_sine__rff__hdri_urban__seed42\scaled-sine\version_0,
etopo1,spherical-harmonics,scaled-sine,None,42,"{""L_max"": 32}",0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,54.47637176513672,50.77742004394531,63.04594421386719,nan,nan,nan,29.827640533447266,32.721988677978516,28.19087791442871,nan,nan,nan,completed,542485,1426.400,316.17,500,2026-06-28T13:11:35,2026-06-28T13:35:22,logs/grid\scaled_sine__sh__etopo1__seed42\scaled-sine\version_0,
era5,spherical-harmonics,scaled-sine,None,42,"{""L_max"": 32}",0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,40.4556884765625,41.278114318847656,41.21434020996094,nan,nan,nan,40.08677673339844,40.6114387512207,40.87257385253906,nan,nan,nan,completed,542485,472.500,316.17,160,2026-06-28T13:35:43,2026-06-28T13:43:36,logs/grid\scaled_sine__sh__era5__seed42\scaled-sine\version_0,
cmb,spherical-harmonics,scaled-sine,None,42,"{""L_max"": 32}",0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,38.064430236816406,39.10319519042969,37.73919677734375,nan,nan,nan,32.624267578125,31.68156623840332,32.899505615234375,nan,nan,nan,completed,542485,534.383,316.17,180,2026-06-28T13:43:57,2026-06-28T13:52:52,logs/grid\scaled_sine__sh__cmb__seed42\scaled-sine\version_0,
hdri_sky,spherical-harmonics,scaled-sine,None,42,"{""L_max"": 32}",0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,31.805917739868164,31.187503814697266,31.49564552307129,30.614139556884766,31.950119018554688,33.25135803222656,31.627666473388672,30.856428146362305,31.385019302368164,30.438827514648438,31.760818481445312,33.0826530456543,completed,542999,423.937,316.24,140,2026-06-28T13:53:14,2026-06-28T14:00:18,logs/grid\scaled_sine__sh__hdri_sky__seed42\scaled-sine\version_0,
hdri_urban,spherical-harmonics,scaled-sine,None,42,"{""L_max"": 32}",0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,22.436782836914062,31.9875545501709,18.241785049438477,22.592243194580078,22.904558181762695,21.878128051757812,22.175289154052734,31.83173370361328,17.986658096313477,22.337722778320312,22.638458251953125,21.614360809326172,completed,542999,366.029,316.24,120,2026-06-28T14:00:39,2026-06-28T14:06:45,logs/grid\scaled_sine__sh__hdri_urban__seed42\scaled-sine\version_0,
etopo1,cartesian,scaled-sine,FKAN,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,40.260467529296875,41.73936462402344,40.88706970214844,nan,nan,nan,30.40439796447754,33.53333282470703,28.61435317993164,nan,nan,nan,completed,313045,1091.889,258.86,500,2026-06-28T14:06:59,2026-06-28T14:25:11,logs/grid\scaled_sine__fkan__etopo1__seed42\scaled-sine\version_0,
era5,cartesian,scaled-sine,FKAN,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,36.91299057006836,37.56399917602539,36.86802673339844,nan,nan,nan,36.84983444213867,37.43191146850586,36.840667724609375,nan,nan,nan,completed,313045,324.606,258.86,140,2026-06-28T14:25:24,2026-06-28T14:30:48,logs/grid\scaled_sine__fkan__era5__seed42\scaled-sine\version_0,
cmb,cartesian,scaled-sine,FKAN,42,{},0.0004,8192,500,6,256,30.0,0.1,10.0,32,32,32,45.18509292602539,47.49052429199219,44.884029388427734,nan,nan,nan,35.87728500366211,36.14930725097656,35.08442306518555,nan,nan,nan,completed,313045,1087.270,258.86,500,2026-06-28T14:31:01,2026-06-28T14:49:08,logs/grid\scaled_sine__fkan__cmb__seed42\scaled-sine\version_0,
